,name,id,align,eye,hair,sex,gsm,appearances,first_appearance,year,publisher
22,Ted Grant (New Earth),Secret Identity,,Blue,Black,Male,,605.0,1942-01-01,1942.0,dc
27,Ralph Dibny (New Earth),Public Identity,,Blue,Red,Male,,558.0,1960-05-01,1960.0,dc
33,Rex Mason (New Earth),Secret Identity,,Black,,Male,,470.0,1965-01-01,1965.0,dc
35,Aztar (New Earth),Secret Identity,,White,,Male,,436.0,1940-02-01,1940.0,dc
36,Theodore Kord (New Earth),Secret Identity,,Blue,Brown,Male,,429.0,1986-02-01,1986.0,dc
50,Charles McNider (New Earth),Secret Identity,,Blue,Blond,Male,,361.0,1941-04-01,1941.0,dc
53,Perry White (New Earth),Public Identity,,Blue,Brown,Male,,350.0,1986-10-01,1986.0,dc
57,Phantom Stranger (New Earth),Secret Identity,,Black,Black,Male,,335.0,1952-09-01,1952.0,dc
61,Clifford Steele (New Earth),Public Identity,,Photocellular,,Male,,314.0,1963-06-01,1963.0,dc
69,Michael Holt (New Earth),Secret Identity,,Brown,Black,Male,,300.0,1997-06-01,1997.0,dc
81,Daniel Turpin (New Earth),Public Identity,,Brown,Brown,Male,,261.0,1942-06-01,1942.0,dc
84,Oswald Cobblepot (New Earth),Public Identity,,Blue,Black,Male,,253.0,1941-12-01,1941.0,dc
103,Mera (New Earth),Public Identity,,Blue,Red,Female,,226.0,1963-10-01,1963.0,dc
105,George Harkness (New Earth),Secret Identity,,Brown,Brown,Male,,224.0,1960-12-01,1960.0,dc
108,Leonard Snart (New Earth),Secret Identity,,Brown,Brown,Male,,219.0,1957-06-01,1957.0,dc
127,Kimiyo Hoshi (New Earth),Secret Identity,,Black,Black,Female,,189.0,1985-07-01,1985.0,dc
129,Vandar Adg (New Earth),Public Identity,,Brown,Black,Male,,188.0,1943-12-01,1943.0,dc
134,Margaret Sawyer (New Earth),Public Identity,,Blue,,Female,Homosexual,180.0,1987-04-01,1987.0,dc
139,Adam Strange (New Earth),Public Identity,,Blue,Blond,Male,,177.0,1958-12-01,1958.0,dc
147,Linda Park (New Earth),Public Identity,,Brown,Black,Female,,174.0,1989-07-01,1989.0,dc
152,Joan Williams (New Earth),Public Identity,,Blue,Grey,Female,,171.0,1940-01-01,1940.0,dc
