,name,id,align,eye,hair,sex,gsm,appearances,first_appearance,year,publisher
5897,Eliza (New Earth),,Bad,,Black,Female,,1.0,2002-01-01,2002.0,dc
4789,Denise de Sevigne (New Earth),,Good,,Brown,Female,,3.0,1968-09-01,1968.0,dc
6479,Seagrin (New Earth),,Good,,Black,Male,,1.0,1971-09-01,1971.0,dc
5402,Ard Rennat (New Earth),Public Identity,Good,,,Male,,2.0,1983-09-01,1983.0,dc
10011,Boris Turgenov (Earth-616),Secret Identity,Bad,Blue,Blond,Male,,10.0,1964-04-01,1964.0,marvel
8324,Vic Martinelli (Earth-616),,Good,Brown,Black,Male,,26.0,1980-03-01,1980.0,marvel
20928,Victor (Earth-616),,Bad,,,Male,,1.0,2001-11-01,2001.0,marvel
8045,Jack Harrison (Earth-616),Secret Identity,Good,Blue,Brown,Male,,33.0,1994-12-01,1994.0,marvel
486,David Reid (New Earth),Public Identity,Neutral,Blue,Blond,Male,,61.0,2008-03-01,2008.0,dc
21317,Nell Hardy (Earth-616),Public Identity,Good,Brown,Brown,Female,,1.0,2006-06-01,2006.0,marvel
12628,Phaedra (Earth-616),Secret Identity,Bad,Blue,Blond,Female,,5.0,2008-01-01,2008.0,marvel
21042,Boss (FBI) (Earth-616),No Dual Identity,Neutral,,Grey,Male,,1.0,2003-02-01,2003.0,marvel
535,Yera Allon (Pre-Zero Hour),Public Identity,Good,Purple,Purple,Female,,55.0,1982-05-01,1982.0,dc
21584,Lobo (Skrull) (Earth-616),Secret Identity,Bad,Green,No,Male,,1.0,2009-01-01,2009.0,marvel
18891,Cerexo (Earth-616),Secret Identity,Neutral,,,Male,,1.0,1971-03-01,1971.0,marvel
17760,John Borden (Earth-616),Secret Identity,Bad,,Black,Male,,1.0,1942-01-01,1942.0,marvel
9734,Joseph Hauer (Earth-616),Secret Identity,Good,Brown,Black,Male,,12.0,1993-04-01,1993.0,marvel
10810,Eliza Robbins (Earth-616),,Neutral,,,Female,,8.0,2002-07-01,2002.0,marvel
12624,Jessica Jones (Skrull) (Earth-616),Secret Identity,Bad,Green,No,Female,,5.0,2008-06-01,2008.0,marvel
10260,Vuk (Earth-616),Secret Identity,Neutral,White,Green,Male,,9.0,1964-03-01,1964.0,marvel
15066,Ouranos (Earth-616),Public Identity,Neutral,Variable,Variable,Male,,3.0,2008-06-01,2008.0,marvel
21094,Andy Hartnell (Earth-616),Secret Identity,Good,Black,Blue,Male,,1.0,2004-04-01,2004.0,marvel
12467,Mortimer Everett (Earth-616),Secret Identity,Bad,,Black,Male,,5.0,1999-03-01,1999.0,marvel
7982,Igor (Earth-616),Public Identity,Bad,Black,Yellow,Male,,34.0,1963-04-01,1963.0,marvel
18461,Tut-Ak-Mun (Earth-616),Public Identity,Bad,,Black,Male,,1.0,1948-10-01,1948.0,marvel
3220,Andi Kasinsky (New Earth),,Good,,,Female,,6.0,2001-03-01,2001.0,dc
280,Werner Vertigo (New Earth),Secret Identity,Neutral,Blue,Blond,Male,,104.0,1978-07-01,1978.0,dc
2525,Obeah Man (New Earth),Secret Identity,Bad,Black,Black,Male,,9.0,1990-07-01,1990.0,dc
11579,Roy Fortune (Earth-616),,Good,,,Male,,6.0,1988-01-01,1988.0,marvel
5144,Gamesman (New Earth),Secret Identity,Bad,Blue,,Male,,2.0,1997-08-01,1997.0,dc
11845,Orlean Cooper (Earth-616),,Bad,,,Male,,6.0,2004-11-01,2004.0,marvel
4358,Jarvis Poker (New Earth),Public Identity,Bad,,Purple,Male,,3.0,2010-12-01,2010.0,dc
22211,Harvey Mayberry (Earth-616),Public Identity,Neutral,,,Male,,,1952-02-01,1952.0,marvel
11552,Ernest Popchik (Earth-616),Public Identity,Good,Blue,Bald,Male,,6.0,1985-10-01,1985.0,marvel
16852,Russell (FBI Agent) (Earth-616),,Good,,,Male,,2.0,2002-10-01,2002.0,marvel
8745,Benjamin Franklin (Earth-616),No Dual Identity,Good,,,Male,,19.0,1943-07-01,1943.0,marvel
751,Kole Weathers (New Earth),Secret Identity,Good,Blue,Red,Female,,38.0,1985-06-01,1985.0,dc
19588,Girthrrud (Earth-616),,Bad,,Red,Female,,1.0,1987-07-01,1987.0,marvel
21785,Jennifer Monroe (Earth-616),Secret Identity,Good,Blue,Black,Female,,1.0,2011-03-01,2011.0,marvel
9093,Scotty McDowell (Earth-616),Secret Identity,Neutral,,Brown,Male,,16.0,1979-12-01,1979.0,marvel
16577,Philip Fleming (Earth-616),Public Identity,Good,,Brown,Male,,2.0,1996-02-01,1996.0,marvel
4821,"Roy Harper, Sr. (New Earth)",,Good,,Blond,Male,,3.0,1943-03-01,1943.0,dc
780,Ramsey Robinson (New Earth),Secret Identity,Good,Blue,Black,Male,Homosexual,36.0,2004-11-01,2004.0,dc
23007,T'Kan (Earth-616),Public Identity,Bad,Brown,Black,Male,,,2009-10-01,2009.0,marvel
18081,General Blauheim (Earth-616),Public Identity,Bad,,Black,Male,,1.0,1944-03-01,1944.0,marvel
9576,Benjamin Grimm (Heroes Reborn) (Earth-616),Public Identity,Good,Blue,No,Male,,13.0,1996-11-01,1996.0,marvel
3846,Captain Murder (New Earth),Secret Identity,Bad,,Black,Female,,4.0,2010-04-01,2010.0,dc
8733,Alexander Lexington (Earth-616),,Good,,Brown,Male,,20.0,2006-01-01,2006.0,marvel
10892,Snot (Earth-616),Secret Identity,Bad,Green,Auburn,Male,,8.0,,,marvel
15232,Sid (Earth-616),Secret Identity,Bad,,,Male,,3.0,,,marvel
16524,Huike (Earth-616),Public Identity,Bad,,Black,Male,,2.0,1995-01-01,1995.0,marvel
6359,Phineas Quayle (New Earth),,Bad,Blue,White,Male,,1.0,1985-07-01,1985.0,dc
17887,Colonel Brusch (Earth-616),Public Identity,Bad,,Bald,Male,,1.0,1943-06-01,1943.0,marvel
4308,Mister Poseidon (New Earth),,Bad,,,Male,,4.0,1961-12-01,1961.0,dc
16453,Killobyte (Joey) (Earth-616),Secret Identity,Bad,,,Male,,2.0,1994-03-01,1994.0,marvel
18700,Hardol (Earth-616),,Good,,,Male,,1.0,1964-12-01,1964.0,marvel
19441,Hounds of the Hunter (Earth-616),,Bad,,,,,1.0,1984-08-01,1984.0,marvel
19049,Omell (Earth-616),No Dual Identity,Bad,,,Female,,1.0,1975-03-01,1975.0,marvel
14844,Paco Perez (Earth-616),No Dual Identity,Good,,Black,Male,,3.0,2001-09-01,2001.0,marvel
7216,Quintavius Quire (Earth-616),Public Identity,Good,Brown,Brown,Male,,130.0,2003-01-01,2003.0,marvel
7590,Bova Ayrshire (Earth-616),Secret Identity,Good,Brown,Brown,Female,,53.0,1974-08-01,1974.0,marvel
4695,Elizabeth Joyce (New Earth),Public Identity,Neutral,Brown,Red,Female,,3.0,1988-06-01,1988.0,dc
12462,Glub (Earth-616),Secret Identity,Good,,,Male,,5.0,1999-09-01,1999.0,marvel
7931,Ashley Crawford (Earth-616),Secret Identity,Good,Blue,Auburn,Female,,36.0,1989-07-01,1989.0,marvel
12397,Marcel Fournier (Earth-616),Public Identity,Neutral,,Brown,Male,,5.0,1995-11-01,1995.0,marvel
5228,Jack Mobley (New Earth),,Bad,,,Male,,2.0,,1993.0,dc
18174,Cracksmith (Earth-616),Secret Identity,Bad,,Black,Male,,1.0,1945-03-01,1945.0,marvel
15513,Sentinel 3-R (Earth-616),Public Identity,Bad,,,,,2.0,1965-11-01,1965.0,marvel
4930,Robo-Octo-Ape (New Earth),,Bad,,,,,2.0,2009-08-01,2009.0,dc
22504,Nuncio Klarheit (Earth-616),Secret Identity,Bad,,,Male,,,1986-02-01,1986.0,marvel
16092,Jet (WIldboys) (Earth-616),Secret Identity,Bad,,,Male,,2.0,1988-04-01,1988.0,marvel
8112,Beast (Demon) (Earth-616),,Bad,,,Male,,31.0,1986-08-01,1986.0,marvel
12874,Bart Dietzel (Earth-616),,Bad,,Brown,Male,,4.0,1970-01-01,1970.0,marvel
20287,Darg (Earth-616),Public Identity,Bad,Red,No,Male,,1.0,1994-02-01,1994.0,marvel
9676,Michael Barnett (Earth-616),Public Identity,Good,,,Male,,12.0,1977-02-01,1977.0,marvel
17919,General Tsaki (Earth-616),Public Identity,Bad,,Black,Male,,1.0,1943-03-01,1943.0,marvel
2643,Thomas Tinker (New Earth),,Good,,,Male,,8.0,2005-07-01,2005.0,dc
12774,Vernon Brooks (Earth-1610),No Dual Identity,Good,Black,Black,Male,,5.0,,,marvel
8768,Astra (Imperial Guard) (Earth-616),Secret Identity,Neutral,White,Red,Female,,19.0,1977-10-01,1977.0,marvel
5126,Lee St. Lawrence (New Earth),,Good,,Blond,Female,,2.0,1998-06-01,1998.0,dc
15731,Legion (Possessors) (Earth-616),Secret Identity,Bad,,,,,2.0,1975-12-01,1975.0,marvel
7068,Robert Reynolds (Earth-616),Secret Identity,Neutral,Blue,Blond,Male,,240.0,2000-09-01,2000.0,marvel
21821,Robert Martin (Earth-616),Secret Identity,Good,Brown,Brown,Male,,1.0,2011-03-01,2011.0,marvel
5944,Napalm II (New Earth),Secret Identity,Bad,,Black,Male,,1.0,2000-03-01,2000.0,dc
7456,Martha Franklin (Earth-616),Secret Identity,Good,Blue,Black,Female,,69.0,1998-11-01,1998.0,marvel
2573,Jeffrey Sloane (New Earth),Public Identity,Good,,Brown,Male,,9.0,1971-12-01,1971.0,dc
73,Rex Tyler (New Earth),Secret Identity,Good,Blue,Brown,Male,,288.0,1940-03-01,1940.0,dc
7321,Anya Corazon (Earth-616),Public Identity,Good,Brown,Brown,Female,,98.0,2004-08-01,2004.0,marvel
9929,Luminor (Earth-616),Secret Identity,Bad,,White,Male,,11.0,1994-03-01,1994.0,marvel
